sid,name,season,basin,start_time,end_time,n_fixes,peak_vmax_kt,min_pmin_hpa,peak_category,made_landfall,had_ri,mean_label_spread_kt,featured_slug
2011167N22089,Unnamed,2011,land,2011-06-16 03:00:00,2011-06-22 18:00:00,54,35.0,978.0,CS,True,0.0,,
2011160N18070,Unnamed,2011,arabian_sea,2011-06-09 06:00:00,2011-06-12 12:00:00,27,32.550000000000004,996.0,DD,False,0.0,5.127142857142859,
2011033N06083,Unnamed,2011,bay_of_bengal,2011-02-02 09:00:00,2011-02-02 18:00:00,4,25.0,1002.0,D,False,,,
2010341N14082,Unnamed,2010,bay_of_bengal,2010-12-07 03:00:00,2010-12-08 00:00:00,8,25.0,1000.0,D,True,,,
2010305N06105,Jal,2010,bay_of_bengal,2010-10-31 21:00:00,2010-11-08 03:00:00,59,60.0,988.0,SCS,True,0.0,6.026666666666666,
2010293N17093,Giri,2010,bay_of_bengal,2010-10-19 15:00:00,2010-10-24 00:00:00,36,105.0,950.0,ESCS,True,1.0,14.78130434782609,
2010286N18090,Unnamed,2010,bay_of_bengal,2010-10-13 06:00:00,2010-10-16 00:00:00,23,30.0,995.0,DD,True,0.0,,
2010280N17085,Unnamed,2010,bay_of_bengal,2010-10-07 03:00:00,2010-10-08 18:00:00,14,25.0,996.0,D,True,0.0,,
2010151N14065,Phet,2010,arabian_sea,2010-05-30 15:00:00,2010-06-07 06:00:00,62,85.0,964.0,VSCS,True,1.0,14.692280701754388,
2010136N09057,Bandu,2010,arabian_sea,2010-05-18 15:00:00,2010-05-22 18:00:00,34,40.0,994.0,CS,False,0.0,7.965714285714287,
2010137N10090,Laila,2010,bay_of_bengal,2010-05-16 21:00:00,2010-05-21 18:00:00,40,55.0,986.0,SCS,True,0.0,5.785454545454546,
2009344N06085,Ward,2009,bay_of_bengal,2009-12-10 09:00:00,2009-12-15 00:00:00,38,45.0,996.0,CS,True,0.0,4.236969696969697,
2009313N11072,Phyan,2009,arabian_sea,2009-11-09 03:00:00,2009-11-11 12:00:00,20,45.0,988.0,CS,True,0.0,5.311578947368424,
2009247N19089,Unnamed,2009,land,2009-09-03 21:00:00,2009-09-07 09:00:00,29,30.0,988.0,DD,True,0.0,5.012941176470589,
2009201N21089,Unnamed,2009,bay_of_bengal,2009-07-20 03:00:00,2009-07-21 06:00:00,10,30.0,988.0,DD,True,0.0,,
2009176N23069,Unnamed,2009,arabian_sea,2009-06-25 09:00:00,2009-06-25 18:00:00,4,25.0,996.0,D,False,,,
2009174N18072,Unnamed,2009,arabian_sea,2009-06-23 00:00:00,2009-06-24 00:00:00,9,25.0,998.0,D,True,0.0,,
2009143N17089,Aila,2009,bay_of_bengal,2009-05-22 18:00:00,2009-05-26 06:00:00,29,60.0,968.0,SCS,True,1.0,4.897600000000001,
2009104N13088,Bijli,2009,bay_of_bengal,2009-04-14 00:00:00,2009-04-18 00:00:00,33,41.85,989.0,CS,True,0.0,5.548888888888889,
2008338N06092,Unnamed,2008,bay_of_bengal,2008-12-03 00:00:00,2008-12-09 03:00:00,50,30.0,1000.0,DD,True,0.0,2.2085714285714304,
2008329N09082,Nisha,2008,bay_of_bengal,2008-11-24 15:00:00,2008-11-28 00:00:00,28,45.0,996.0,CS,True,0.0,5.24888888888889,
2008317N11089,Khai-Muk,2008,bay_of_bengal,2008-11-11 21:00:00,2008-11-16 06:00:00,36,40.0,994.0,CS,True,0.0,5.340454545454548,
2008298N16085,Rashmi,2008,bay_of_bengal,2008-10-24 09:00:00,2008-10-27 06:00:00,24,45.0,984.0,CS,True,0.0,2.816470588235295,
2008293N09060,Unnamed,2008,arabian_sea,2008-10-19 09:00:00,2008-10-23 18:00:00,33,30.0,1000.0,DD,True,0.0,2.405,
2008259N20089,Unnamed,2008,land,2008-09-15 06:00:00,2008-09-19 09:00:00,30,30.0,986.0,DD,True,0.0,5.08857142857143,
2008223N20086,Unnamed,2008,land,2008-08-09 12:00:00,2008-08-10 09:00:00,4,25.0,988.0,D,True,,,
2008168N22090,Unnamed,2008,land,2008-06-16 03:00:00,2008-06-18 03:00:00,9,25.0,988.0,D,True,0.0,,
2008157N16066,Unnamed,2008,arabian_sea,2008-06-05 00:00:00,2008-06-06 21:00:00,16,25.0,994.0,D,False,0.0,,
2008117N11090,Nargis,2008,bay_of_bengal,2008-04-25 12:00:00,2008-05-04 00:00:00,69,90.0,962.0,ESCS,True,1.0,9.979411764705885,
2007314N10093,Sidr,2007,bay_of_bengal,2007-11-10 09:00:00,2007-11-16 00:00:00,46,115.0,944.0,ESCS,True,1.0,20.057142857142864,
2007300N11068,Unnamed,2007,arabian_sea,2007-10-27 06:00:00,2007-10-30 06:00:00,25,37.2,993.0,CS,False,0.0,,
